year,activity,weight,sector_ptf,contribution
2006,Agricultura,0.0661532994524544,2.731897624932886,0.18072404165563416
2006,Minería,0.053301250630432805,-3.132700869851751,-0.16697687421414303
2006,Manufactura,0.26664349387688413,2.553355351769602,0.6808355921050873
2006,"Electricidad, gas y agua",0.03166346176551116,1.298625051503958,0.04111896466603053
2006,Construcción,0.07820092588392516,2.202489191980401,0.17223669406220554
2006,"Comercio, hoteles y restaurantes",0.12444795568892732,4.393378962035465,0.546747030392055
2006,Transporte y comunicaciones,0.08936904448882227,0.844033398247376,0.07543045831802159
2006,Finanzas e inmobiliarias,0.13677557600003365,1.429880416572186,0.1955727175878288
2006,Servicios sociales,0.15344499221300884,3.130162672033309,0.480307786835602
2007,Agricultura,0.0635414915606852,2.323206842531002,0.14762002797840978
2007,Minería,0.051993565962617255,-4.324306909079369,-0.2248361365198197
2007,Manufactura,0.26809338739439104,0.007352163992550231,0.001971066549441862
2007,"Electricidad, gas y agua",0.03048878544935916,0.4591468373219634,0.013998829412861154
2007,Construcción,0.08149758431842447,-0.7637413976546483,-0.06224307895283105
2007,"Comercio, hoteles y restaurantes",0.12487261238846659,0.1205458813605063,0.015052879118156582
2007,Transporte y comunicaciones,0.09099640199927216,-1.266182576094153,-0.11521805869873755
2007,Finanzas e inmobiliarias,0.13640613149633907,-5.517098662999077,-0.7525660857033285
2007,Servicios sociales,0.15211003943044515,-2.698907028364784,-0.4105308545036729
2008,Agricultura,0.06183729920908755,-2.892545664586325,-0.17886721173697356
2008,Minería,0.056301536799313025,-2.773676452773486,-0.15616224687521443
2008,Manufactura,0.26394192476515754,-1.336646828157722,-0.3527971365551919
2008,"Electricidad, gas y agua",0.029933757100009062,-1.450842986662372,-0.043429181553003134
2008,Construcción,0.08582124832884787,2.942703423551406,0.25254648127075596
2008,"Comercio, hoteles y restaurantes",0.12379722364251451,-0.3059487509157224,-0.03787560594026165
2008,Transporte y comunicaciones,0.09090427710559126,-0.7215951766155886,-0.06559608789312153
2008,Finanzas e inmobiliarias,0.13823417310533465,-3.130106145545206,-0.43268763476136785
2008,Servicios sociales,0.1492285599441445,1.422997835512152,0.21235191779711304
2009,Agricultura,0.06044037564908492,-2.590852329266908,-0.15659208803219857
2009,Minería,0.060703475923722196,7.47984825443352,0.4540527884261007
2009,Manufactura,0.2527166084874729,-2.243911980422449,-0.5670738254367701
2009,"Electricidad, gas y agua",0.031396157452274365,-0.1068556254839663,-0.003354856042355867
2009,Construcción,0.09064568732810957,-1.273374282883108,-0.11542588709787796
2009,"Comercio, hoteles y restaurantes",0.12176787927171534,-0.8667333601195416,-0.10554028315580452
2009,Transporte y comunicaciones,0.0890600638041634,-4.614811382471736,-0.4109953961671123
2009,Finanzas e inmobiliarias,0.14345905425875677,1.781420136174772,0.2555608479731385
2009,Servicios sociales,0.14981069782470072,0.5441217409924994,0.08151525771967741
2010,Agricultura,0.05827077248456433,-1.477630430449354,-0.08610266662898317
2010,Minería,0.06330863814037384,-1.436831008686941,-0.09096381439782988
2010,Manufactura,0.2453594943068786,-1.13392960469398,-0.27822039438731366
2010,"Electricidad, gas y agua",0.03288800010577879,-1.781737834070235,-0.05859779407537196
2010,Construcción,0.08908629513838523,-4.045150293251145,-0.36036745290369704
2010,"Comercio, hoteles y restaurantes",0.12095641600084195,-0.6030235193831022,-0.07293956366879428
2010,Transporte y comunicaciones,0.08799861290631321,1.395843991272702,0.12283233506560974
2010,Finanzas e inmobiliarias,0.14866997020260345,-0.8755149188567843,-0.1301627768983729
2010,Servicios sociales,0.1534618007142608,0.1625002093923058,0.024937574749787684
2011,Agricultura,0.05563406024555309,1.048826208660588,0.058350460479738187
2011,Minería,0.07696517583345475,0.6739551271593776,0.05187107486567984
2011,Manufactura,0.24540302244242762,-0.3094782491891603,-0.0759468977312107
2011,"Electricidad, gas y agua",0.03156455695755184,-1.885836348836071,-0.05952558884545776
2011,Construcción,0.08678520498024767,-1.797824699690425,-0.15602458508118575
2011,"Comercio, hoteles y restaurantes",0.11975413936876406,1.572113705527552,0.18826712379529056
2011,Transporte y comunicaciones,0.08724093826630286,2.363843860762408,0.20622395632795226
2011,Finanzas e inmobiliarias,0.14644123157359556,-0.6831860217051045,-0.10004660241236069
2011,Servicios sociales,0.1502116703321025,1.07900877130184,0.16207970984023895
2012,Agricultura,0.05316293396695371,1.952064286352201,0.10377746475459068
2012,Minería,0.0859967884730373,-0.447550476814877,-0.03848790368565596
2012,Manufactura,0.2412366179228126,-0.8681517368122245,-0.20942998883239675
2012,"Electricidad, gas y agua",0.030776216889945373,-0.6530209466856807,-0.02009751428887596
2012,Construcción,0.0894112011848569,-1.587085875840158,-0.1419032545423892
2012,"Comercio, hoteles y restaurantes",0.11857298839094521,0.5944412202015918,0.07048467190206266
