activity,start,end,n,ptf_positive_years,production,labor_composition,hours,labor,capital_tic,capital_non_tic,capital,energy,materials,services,intermediate,factors,ptf
Agricultura,2020,2024,5,4,2.881960805286763,0.07024022375939239,-0.2566697030247264,-0.1864294792653341,0.00812525810955798,0.2974323611849552,0.3055576192945132,0.03643160096622174,1.047133283554333,0.09467790538996501,1.1782427899105197,1.297370929939699,1.5845898753470637
Minería,2020,2024,5,0,-2.481481890297311,-0.4383593773826269,0.8049936518025083,0.36663427441988145,0.20464631019462395,0.6214806606864638,0.8261269708810877,0.2128554213155079,0.014384526692393406,-0.8883686425353542,-0.661128694527453,0.5316325507735162,-3.0131144410708264
Manufactura,2020,2024,5,1,1.9946481767236786,0.16238826253528815,-0.04868149066072471,0.11370677187456354,0.008845702673045897,0.35847809070844716,0.3673237933814931,0.2818968556360376,1.3312525751169253,0.055889507536529104,1.6690389382894921,2.1500695035455486,-0.15542132682186946
"Electricidad, gas y agua",2020,2024,5,4,2.599374647173782,0.0030668622572197954,0.11692652799279428,0.11999339025001407,0.006155102984655764,0.32298697273069454,0.3291420757153503,1.350361588555529,0.050213045960239996,0.09699410893954795,1.497568743455317,1.9467042094206815,0.6526704377531007
Construcción,2020,2024,5,2,-4.1933270999480845,0.23817280294707727,0.10083639099007842,0.33900919393715573,0.007580291064075736,-0.12108926591558603,-0.11350897485151028,-0.058716893093875414,-0.3768416363980924,-1.4646534449395696,-1.9002119744315376,-1.6747117553458921,-2.5186153446021935
"Comercio, hoteles y restaurantes",2020,2024,5,3,3.1553843218360447,0.3687957421124124,-0.38085912985405723,-0.012063387741644994,0.12045498994867807,0.18683100914398537,0.3072859990926634,0.1782810202063975,0.3305467136487664,1.2814245730667175,1.7902523069218812,2.0854749182729,1.0699094035631453
Transporte y comunicaciones,2020,2024,5,3,3.8612702588740966,0.24204989330486654,0.7227184741467699,0.9647683674516362,0.2929790651629913,0.12397319260945414,0.41695225777244566,0.6188884356265597,0.21751940111660512,1.5655749149048659,2.4019827516480308,3.7837033768721122,0.07756688200198444
Finanzas e inmobiliarias,2020,2024,5,3,2.8707392877150717,0.3569148878453331,1.469416164922669,1.8263310527680023,0.09729495964502864,1.1313259160144267,1.2286208756594554,0.01212983480282068,0.09320248458031237,0.8086467464200668,0.9139790658031999,3.968930994230657,-1.0981917065155853
Servicios sociales,2020,2024,5,4,4.937443632134216,0.9660686286631364,0.3154605715139753,1.281529200177111,0.023072610483597603,0.07440041903987424,0.09747302952347184,0.035514854336982135,0.6883591125789499,1.2485987003119579,1.9724726672278898,3.351474896928474,1.5859687352057417
