year,activity,production,labor_composition,hours,labor,capital_tic,capital_non_tic,capital,energy,materials,services,intermediate,factors,ptf
2005,Total de la economía,5.266710463048241,0.3946967631314486,1.432785998195235,1.8274827613266837,-0.04963244346088296,0.8013742292001956,0.7517417857393127,-0.5833046023300249,2.540919681285875,0.6566594867669355,2.6142745657227855,5.193499112788782,0.07321135025945857
2006,Total de la economía,6.538878085128862,0.1525576153788296,-0.3976574497772312,-0.24509983439840163,-0.02814170347229213,1.194241972413515,1.1661002689412228,0.3785569526037654,1.613452613591634,1.419871672982318,3.4118812391777174,4.3328816737205385,2.205996411408322
2007,Total de la economía,6.108052561914324,0.3811801159106246,2.737873548082323,3.119053663992948,-0.0105926793477193,1.466609353018039,1.4560166736703197,0.3204628596231788,0.9865617958014268,1.612708980145971,2.9197336355705765,7.494803973233844,-1.386751411319521
2008,Total de la economía,3.536170098948586,0.342052614355673,0.7583250535301553,1.1003776678858284,0.06737002269368653,1.237462048081329,1.3048320707750154,0.3550068057593224,0.7629385637218802,0.8155316970538042,1.933477066535007,4.3386868051958505,-0.8025167062472658
2009,Total de la economía,0.2090175902593837,-0.6184157183487777,0.8135222220706679,0.1951065037218902,-0.0329421287930072,1.093160646066296,1.0602185172732888,0.2096374255109028,-0.9975494631167516,0.3094580486832559,-0.47845398892259294,0.776871032072586,-0.5678534418132021
2010,Total de la economía,3.896883927467329,0.4431577286582478,1.601753867223763,2.0449115958820108,0.02686330837104592,1.081596966717998,1.108460275089044,0.2106685955592301,0.5507898855382847,0.9116381285437233,1.673096609641238,4.826468480612293,-0.929584553144964
2011,Total de la economía,6.400132043518472,0.2003856916311683,1.406823113915906,1.6072088055470743,0.03603420226575796,1.465451171989474,1.501485374255232,0.3890416179278373,1.035439245260739,1.591708349288904,3.0161892124774803,6.124883392279787,0.2752486512386846
2012,Total de la economía,3.294319422660301,-0.1069079459268348,0.7603231075720144,0.6534151616451795,0.06814968809092432,1.410995319004508,1.4791450070954322,0.1785603021474722,0.2542254144751946,0.886948506643387,1.3197342232660538,3.4522943920066655,-0.1579749693463642
2013,Total de la economía,4.763238623685755,0.6487729460018317,0.3632075280787222,1.0119804740805538,0.09492359207960112,1.30625955723782,1.4011831493174212,0.2856760111601445,0.4693607806281161,1.288423647674071,2.0434604394623315,4.456624062860307,0.306614560825448
2014,Total de la economía,3.738562582352405,0.3667809459120409,1.213451014169923,1.580231960081964,0.08855480449834603,1.304231325638255,1.392786130136601,-0.09977092736631478,0.4993416922998757,1.066596918446617,1.466167683380178,4.439185773598743,-0.7006231912463368
2015,Total de la economía,3.178792758244401,-0.2937558123624812,0.5434337357037062,0.24967792334122502,0.02465521943900051,0.9055240417579872,0.9301792611969877,0.1088070678738767,0.9714027715484137,0.5324535732340107,1.612663412656301,2.792520597194514,0.3862721610498867
2016,Total de la economía,1.467999858889725,0.1351155360240452,0.7774962565670027,0.912611792591048,0.04297100800637791,0.7503428224073474,0.7933138304137253,0.1663504817217281,0.2329105667494741,-0.05793848349949354,0.34132256497170865,2.047248187976482,-0.5792483290867567
2017,Total de la economía,0.4200472577350662,-0.07939611657948178,-0.09422135205096219,-0.17361746863044397,0.06196104024070472,0.6832390764480951,0.7452001166887998,0.06394546897793002,-0.2747268761841822,-0.05965531940026639,-0.2704367266065185,0.30114592145183733,0.118901336283229
2018,Total de la economía,2.24346944203088,0.2829960655694896,0.2642398444751214,0.5472359100446109,0.07576809127274027,0.5101040964060373,0.5858721876787776,0.144902216448445,0.3395882102162046,0.4707068076972332,0.9551972343618829,2.0883053320852714,0.1551641099456086
2019,Total de la economía,2.49828693451361,0.2302582650524309,0.5289369954191494,0.7591952604715804,0.1006615339650932,0.558284917736616,0.6589464517017092,0.1020672750472666,0.2868645034943015,0.5466521031315036,0.9355838816730717,2.3537255938463613,0.1445613406672486
2020,Total de la economía,-8.554652568163663,1.163024031096736,-4.531327459056143,-3.3683034279594075,0.06696808195109517,0.1565391949850127,0.2235072769361079,-0.6327249345996444,-1.817605257427207,-2.179925340510348,-4.630255532537199,-7.775051683560499,-0.7796008846031638
2021,Total de la economía,10.57476198098776,0.3145915619098808,3.487720306238178,3.8023118681480588,0.0953282443030792,0.3971533851260498,0.492481629429129,0.7168554226560798,2.919343002905637,2.029457438937058,5.665655864498775,9.960449362075963,0.6143126189117988
2022,Total de la economía,8.048415621681285,0.0992678370348871,2.099638049849056,2.198905886883943,0.1705287265377194,0.5998402734381371,0.7703689999758565,0.7241273387938992,2.369162576019414,1.941373149920659,5.034663064733973,8.003937951593773,0.04447767008751363
2023,Total de la economía,0.6911439906250468,0.1178374324152691,0.613102411741655,0.7309398441569241,0.01146502127152814,0.3087479347063807,0.3202129559779088,0.3544439489216716,-0.7637267298194524,0.5550150311151284,0.14573225021734754,1.1968850503521804,-0.5057410597271336
2024,Total de la economía,0.8444873596331464,-0.004640594902465066,-0.1096209111323213,-0.1142615060347864,0.02404475493052589,0.3052980628651486,0.3293428177956745,-0.1032782230315242,-0.05881494651543883,0.1684155753474804,0.00632240580051735,0.22140371756140542,0.6230836420717408
