year,activity,gross_output_share,tornqvist_weight_from_published_gross_output,implicit_exact_weight,difference_percentage_points,sector_ptf,contribution
2005,Agricultura,0.06795729818421967,,0.06910778265732645,,-4.609292480816046,-0.31853798296828434
2005,Minería,0.052779839187358304,,0.0514555592497314,,4.584495150191688,0.23589776183079467
2005,Manufactura,0.26480810735367205,,0.2665230150247372,,1.447687090475098,0.3858419281658126
2005,"Electricidad, gas y agua",0.032514859169792826,,0.033202905987464955,,0.3431174026645718,0.011392494863334934
2005,Construcción,0.07599622818782807,,0.07343856036019883,,6.347841538002023,0.466176343945539
2005,"Comercio, hoteles y restaurantes",0.12437448512040523,,0.12445648819044325,,1.328376354438846,0.1653250560686823
2005,Transporte y comunicaciones,0.08842142171447245,,0.08762929871471975,,2.044413994839967,0.17915056465038498
2005,Finanzas e inmobiliarias,0.13831112684590718,,0.13933442595151682,,-3.458526257493652,-0.4818917707261259
2005,Servicios sociales,0.1548366342363442,,0.15485196386386152,,-3.68185866904421,-0.5701430455706793
2006,Agricultura,0.06434786256157045,0.06615258037289506,0.0661532994524544,0.00007190795593414734,2.731897624932886,0.18072404165563416
2006,Minería,0.05381946525089584,0.053299652219127074,0.053301250630432805,0.00015984113057310179,-3.132700869851751,-0.16697687421414303
2006,Manufactura,0.26848162174470586,0.26664486454918895,0.26664349387688413,-0.00013706723048234615,2.553355351769602,0.6808355921050873
2006,"Electricidad, gas y agua",0.03081219064968061,0.031663524909736715,0.03166346176551116,-0.00000631442255566439,1.298625051503958,0.04111896466603053
2006,Construcción,0.08040711400870076,0.07820167109826442,0.07820092588392516,-0.0000745214339264999,2.202489191980401,0.17223669406220554
2006,"Comercio, hoteles y restaurantes",0.12452361548878849,0.12444905030459685,0.12444795568892732,-0.00010946156695362808,4.393378962035465,0.546747030392055
2006,Transporte y comunicaciones,0.0903153126161,0.08936836716528623,0.08936904448882227,0.00006773235360357788,0.844033398247376,0.07543045831802159
2006,Finanzas e inmobiliarias,0.13524226699104758,0.13677669691847738,0.13677557600003365,-0.00011209184437310782,1.429880416572186,0.1955727175878288
2006,Servicios sociales,0.15205055068851045,0.15344359246242734,0.15344499221300884,0.0001399750581498882,3.130162672033309,0.480307786835602
2007,Agricultura,0.0627350261939129,0.06354144437774167,0.0635414915606852,0.000004718294352445973,2.323206842531002,0.14762002797840978
