activity,start,end,n,ptf_positive_years,production,labor_composition,hours,labor,capital_tic,capital_non_tic,capital,energy,materials,services,intermediate,factors,ptf
Agricultura,2005,2024,20,15,2.613088404691357,-0.03109688377710578,-0.03440586947746622,-0.06550275325457204,0.002403336132380209,0.6223180655131095,0.6247214016454897,0.05814681374325266,0.8907747618551539,0.11716049708987282,1.0660820726882796,1.625300721079197,0.9877876836121601
Minería,2005,2024,20,3,1.80217102873907,0.23093912860584812,0.4219820657639201,0.6529211943697683,0.20601290898659658,2.745341273877893,2.951354182864489,0.1484008651563815,0.01620748852175933,-0.03206895268577448,0.13253940099236636,3.7368147782266243,-1.9346437494875537
Manufactura,2005,2024,20,5,2.025518364527019,0.0829777540149435,0.1246792941451905,0.20765704816013403,0.0028654410950916444,0.7296449414926406,0.7325103825877323,0.19419429329754329,1.072952599737217,0.0826312948822234,1.3497781879169835,2.28994561866485,-0.2644272541378307
"Electricidad, gas y agua",2005,2024,20,8,2.6635925216475576,0.08852276756864931,0.22627029906215892,0.3147930666308082,-0.0008551939949193425,1.2195862378176499,1.2187310438227306,1.1069788468711095,0.0994380837339927,0.20796912764184383,1.414386058246946,2.947910168700485,-0.2843176470529272
Construcción,2005,2024,20,8,2.2669256917926988,0.023745891872306087,0.6971436127694248,0.720889504641731,-0.0002309996793008659,0.803047525679242,0.8028165259999411,0.013634914949730617,1.3405384467319659,-0.024817241361135584,1.3293561203205608,2.853062150962233,-0.5861364591695347
"Comercio, hoteles y restaurantes",2005,2024,20,15,3.7902905460331566,0.11523216649005821,0.7445861643686447,0.8598183308587029,0.05442776540553366,0.10376703432669483,0.1581947997322285,0.09392255425436744,0.6226240266753081,1.0138026178366644,1.73034919876634,2.7483623293572714,1.0419282166758856
Transporte y comunicaciones,2005,2024,20,12,4.2841937602385105,0.18663348296576027,1.1297273698513108,1.316360852817071,0.20082827728603087,0.5243897954563574,0.7252180727423883,0.5336508571005536,0.17838995509183198,1.3220644646578632,2.034105276850249,4.075684202409708,0.20850955782880237
Finanzas e inmobiliarias,2005,2024,20,8,3.951983623450115,0.015493553016845851,1.702251487073936,1.7177450400907819,0.05068459287220748,2.035893191907867,2.0865777847800744,0.010724505231216826,0.052206497093367166,1.1388410280043186,1.2017720303289026,5.006094855199759,-1.054111231749644
Servicios sociales,2005,2024,20,14,4.686613151571382,0.814170815727044,0.9625972095018271,1.776768025228871,-0.00030002723133557815,0.0739515668132982,0.07365153958196263,0.043333513953462355,0.37001712700570233,1.7608278041343073,2.174178445093472,4.024598009904306,0.6620151416670759
