year,selected_contribution,observed_ptf,counterfactual_ptf,observed_production,counterfactual_production
2006,0.8816681295409785,2.205996411408322,1.3243282818673434,6.538878085128862,5.657209955587883
2007,-1.0376742346265373,-1.386751411319521,-0.34907717669298366,6.108052561914324,7.1457267965408615
2008,-0.6891005369210182,-0.8025167062472658,-0.11341616932624754,3.536170098948586,4.225270635869604
2009,0.027113923864591133,-0.5678534418132021,-0.5949673656777932,0.2090175902593837,0.18190366639479258
2010,-0.8597144385872135,-0.929584553144964,-0.0698701145577505,3.896883927467329,4.756598366054543
2011,-0.2801470103590773,0.2752486512386846,0.5553956615977619,6.400132043518472,6.680279053877549
2012,-0.5200623913693899,-0.1579749693463642,0.3620874220230257,3.294319422660301,3.8143818140296912
2013,-0.28367030154274225,0.306614560825448,0.5902848623681902,4.763238623685755,5.0469089252284975
2014,-0.6965837574884708,-0.7006231912463368,-0.004039433757865973,3.738562582352405,4.435146339840876
2015,-0.2736608796258786,0.3862721610498867,0.6599330406757653,3.178792758244401,3.4524536378702795
2016,-0.542458590400942,-0.5792483290867567,-0.0367897386858147,1.467999858889725,2.0104584492906667
2017,-0.6395170080693734,0.118901336283229,0.7584183443526024,0.4200472577350662,1.0595642658044395
2018,-0.2585530874420023,0.1551641099456086,0.4137171973876109,2.24346944203088,2.502022529472882
2019,-0.2507916566106549,0.1445613406672486,0.3953529972779035,2.49828693451361,2.7490785911242646
2020,-1.5316970586935734,-0.7796008846031638,0.7520961740904096,-8.554652568163663,-7.022955509470089
2021,-0.4894193901723824,0.6143126189117988,1.1037320090841811,10.57476198098776,11.064181371160144
2022,-0.113257402865146,0.04447767008751363,0.15773507295265965,8.048415621681285,8.161673024546431
2023,-0.3819888172183958,-0.5057410597271336,-0.12375224250873779,0.6911439906250468,1.0731328078434426
2024,-0.2782955080455114,0.6230836420717408,0.9013791501172522,0.8444873596331464,1.1227828676786578
