year,activity,gross_output_nominal_billion_cop,gross_output_share
2019,Construcción,170211,0.0916371682607022
2019,"Comercio, hoteles y restaurantes",244466,0.13161412585567808
2019,Transporte y comunicaciones,160121,0.0862049751136642
2019,Finanzas e inmobiliarias,287917,0.15500701232068784
2019,Servicios sociales,323513,0.17417097141503518
2020,Agricultura,118643,0.06773124892602672
2020,Minería,76193,0.04349727374915295
2020,Manufactura,372703,0.21276973499049195
2020,"Electricidad, gas y agua",72278,0.0412622675579289
2020,Construcción,129972,0.07419878025179358
2020,"Comercio, hoteles y restaurantes",235558,0.13447601236075454
2020,Transporte y comunicaciones,138908,0.07930018901929756
2020,Finanzas e inmobiliarias,290451,0.16581348231091078
2020,Servicios sociales,316967,0.18095101083364304
2021,Agricultura,145790,0.06812425819836827
2021,Minería,110593,0.05167752306010112
2021,Manufactura,482516,0.2254684448099586
2021,"Electricidad, gas y agua",80441,0.03758819846172537
2021,Construcción,146372,0.06839621319028438
2021,"Comercio, hoteles y restaurantes",324432,0.15159948786482622
2021,Transporte y comunicaciones,165469,0.0773197947721092
2021,Finanzas e inmobiliarias,315041,0.1472112931413138
2021,Servicios sociales,369406,0.17261478650131304
2022,Agricultura,199185,0.07446822431129464
2022,Minería,183283,0.06852302912592322
2022,Manufactura,607923,0.2272809013128256
2022,"Electricidad, gas y agua",98693,0.03689782093006302
2022,Construcción,172207,0.0643821045961047
2022,"Comercio, hoteles y restaurantes",425908,0.1592319325249134
2022,Transporte y comunicaciones,210621,0.07874374010427085
2022,Finanzas e inmobiliarias,351436,0.1313894865530243
2022,Servicios sociales,425509,0.1590827605415803
2023,Agricultura,211233,0.07437991211020029
2023,Minería,153080,0.05390292684300966
2023,Manufactura,619942,0.21829558579114905
2023,"Electricidad, gas y agua",121509,0.04278606439618017
2023,Construcción,185790,0.0654208569255472
2023,"Comercio, hoteles y restaurantes",440124,0.15497760500295782
2023,Transporte y comunicaciones,229455,0.08079629003633905
2023,Finanzas e inmobiliarias,384207,0.1352879658581932
2023,Servicios sociales,494580,0.17415279303642356
2024,Agricultura,235666,0.07820699935819195
2024,Minería,134302,0.04456882379216304
2024,Manufactura,625941,0.20772180707130442
2024,"Electricidad, gas y agua",138690,0.046025004629380736
2024,Construcción,200587,0.0665658490417016
2024,"Comercio, hoteles y restaurantes",463741,0.15389488551325728
2024,Transporte y comunicaciones,240640,0.07985764737193872
2024,Finanzas e inmobiliarias,418982,0.1390413763762867
2024,Servicios sociales,554813,0.18411760684577558
