activity,start,end,n,ptf_positive_years,production,labor_composition,hours,labor,capital_tic,capital_non_tic,capital,energy,materials,services,intermediate,factors,ptf
Agricultura,2006,2019,14,11,2.5249073842417973,-0.11590027094781238,-0.16424297585058373,-0.28014324679839614,0.0016321507219493128,0.7301809218033746,0.7318130725253239,0.08812349399099066,0.6177625425294303,0.19291603797131088,0.8988020744917318,1.3504719002186596,1.1744354840231375
Minería,2006,2019,14,2,3.1990165591396305,0.39025997678857244,0.47637846838410225,0.8666384451726747,0.22614903678945023,3.533818026656735,3.7599670634461853,0.2014679937318749,0.005750081825906762,0.3803213988621769,0.5875394744199586,5.2141449830388185,-2.015128423899188
Manufactura,2006,2019,14,3,1.8866789092803784,0.06441285588955355,0.15136904674257287,0.21578190263212643,0.003565760323844086,0.9051681201517509,0.908733880475595,0.2694319204407867,0.7428984569865144,0.17548457296838202,1.187814950395683,2.3123307335034045,-0.42565182422302605
"Electricidad, gas y agua",2006,2019,14,3,2.7011096406234443,0.04554506931571965,0.21451067576447863,0.26005574508019824,-0.0010397944983369857,1.573718438197925,1.5726786436995879,1.3219113586738054,0.06479423181306478,0.14544269939169005,1.53214828987856,3.364882678658346,-0.6637730380349014
Construcción,2006,2019,14,5,4.134693209433157,-0.014629483799012489,0.831552966516525,0.8169234827175125,-0.0015505332992195632,1.1852404089618442,1.1836898756626248,0.06134424224663531,1.8174561087932848,0.6465290713260814,2.5253294223660014,4.525942780746139,-0.3912495713129821
"Comercio, hoteles y restaurantes",2006,2019,14,11,3.912744364299498,0.023154986716810332,1.125500764925784,1.1486557516425944,0.03493619261065151,0.07887004558286434,0.11380623819351585,0.07572691892781121,0.5134665120010894,1.049614589158549,1.6388080200874497,2.90127000992356,1.0114743543759386
Transporte y comunicaciones,2006,2019,14,8,4.119179334746517,0.13480980446581362,1.1471507505536171,1.2819605550194308,0.1961429850636872,0.6113732140461969,0.807516199109884,0.5818896105171721,0.07800796543448649,1.2456662366851028,1.9055638126367611,3.995040566766076,0.12413876798043988
Finanzas e inmobiliarias,2006,2019,14,5,4.268617373527776,-0.08743808337305999,1.738657619500983,1.6512195361279232,0.0427339145714747,2.2889270411313207,2.3316609557027954,0.009953237640330683,0.035786897395575744,1.1066210212983862,1.1523611563342926,5.135241648165011,-0.8666242746372357
Servicios sociales,2006,2019,14,10,4.469019219471759,0.699230805684132,1.1206998226378735,1.8199306283220054,-0.006233981425173306,0.0666287471119066,0.0603947656867333,0.04502754378514795,0.17250803278533278,1.7288498327241815,1.9463854092946622,3.8267108033034005,0.6423084161683583
