activity,start,end,n,ptf_positive_years,production,labor_composition,hours,labor,capital_tic,capital_non_tic,capital,energy,materials,services,intermediate,factors,ptf
Agricultura,2006,2024,19,15,2.6188688108325775,-0.06691593023539007,-0.18856579879114763,-0.2554817290265377,0.003340863192372646,0.6162997216406326,0.6196405848330052,0.07452036424763042,0.7307548427991415,0.16706389781832512,0.9723391048650971,1.3364979606715646,1.282370850161013
Minería,2006,2024,19,2,1.704148546129909,0.17220225200667785,0.5628561482310512,0.7350584002377292,0.22049042452765383,2.7674134566645585,2.9879038811922123,0.20446468520125202,0.00802230415919272,0.04645559849440555,0.25894258785485025,3.9819048692847914,-2.277756323154882
Manufactura,2006,2024,19,4,1.9150918743970362,0.09019585763843108,0.0987241684785472,0.1889200261169783,0.004955218836791932,0.7613023229298289,0.7662575417666208,0.27271216654480007,0.8977284880734645,0.14401218732842072,1.3144528419466852,2.269630409830284,-0.354538535433248
"Electricidad, gas y agua",2006,2024,19,7,2.674337273926165,0.03436659377400916,0.18883063687719326,0.22319723065120242,0.0008535995761347905,1.2445785788644432,1.245432178440578,1.329398261274259,0.06095707764126878,0.13269307032533686,1.5230484092408645,2.991677818332645,-0.3173405444064798
Construcción,2006,2024,19,7,1.9431089174907252,0.05189743376574798,0.6392591308516706,0.6911565646174186,0.0008523152174370949,0.8414694418888363,0.8423217571062734,0.02974920663071143,1.2400093337429223,0.09095472494038374,1.3607132653140177,2.8941915870377097,-0.9510826695469851
"Comercio, hoteles y restaurantes",2006,2024,19,14,3.713439089967011,0.11411308024196878,0.7290902662995099,0.8432033465414787,0.05744113927855323,0.10728082546736986,0.1647219647459231,0.10271484031691286,0.46532972296100433,1.110617216502804,1.678661779780721,2.686587091068123,1.0268519988988878
Transporte y comunicaciones,2006,2024,19,11,4.051308525306406,0.16303088047609068,1.0354580462360257,1.1984889267121164,0.2216261640371883,0.4831100505102119,0.7047362145474002,0.5916261434406952,0.11472150114030719,1.3298527309534613,2.036200375534464,3.9394255167939805,0.11188300851242527
Finanzas e inmobiliarias,2006,2024,19,8,3.9007547193665375,0.02949690905283293,1.667804605138269,1.6973015141911019,0.057092084327673105,1.9842951661005592,2.041387250428232,0.010526026367301733,0.05089626244419065,1.0282067384356706,1.089629027247163,4.828317791866497,-0.9275630724999594
Servicios sociales,2006,2024,19,14,4.592288801751353,0.7694512854154489,0.908794756552637,1.6782460419680858,0.0014782796034506173,0.06867392393505597,0.0701522035385066,0.042524204456683264,0.3082583169415478,1.6024679557735961,1.9532504771718273,3.7016487226784203,0.890640079072933
