activity,start,end,n,ptf_positive_years,production,labor_composition,hours,labor,capital_tic,capital_non_tic,capital,energy,materials,services,intermediate,factors,ptf
Agricultura,2005,2019,15,11,2.5234642711595554,-0.06487591962260518,0.03968207503828718,-0.025193844584318014,0.0004960288066542854,0.7306133002891609,0.7311093290958153,0.06538521800226296,0.8386552546220943,0.12465469432317543,1.0286951669475326,1.7346106514590298,0.7888536197005254
Minería,2005,2019,15,3,3.2300553350845305,0.4540386306020065,0.2943115370843908,0.7483501676863973,0.20646844191725408,3.453294811608369,3.6597632535256235,0.12691601310333941,0.016815142464881302,0.25336427726408545,0.39709543283230614,4.805208854044326,-1.575153518959796
Manufactura,2005,2019,15,4,2.0358084271281327,0.056507584508161963,0.1824662224138289,0.23897380692199086,0.000872020569106893,0.8533672250873717,0.8542392456564786,0.1649601058513785,0.9868526079439808,0.09154522399745482,1.2433579377928141,2.3365709903712837,-0.30076256324315115
"Electricidad, gas y agua",2005,2019,15,4,2.6849984798054822,0.1170080693391258,0.2627182227519472,0.37972629209107295,-0.0031919596547777115,1.5184526595133017,1.5152606998585239,1.0258512663096364,0.11584642965857693,0.2449608005426091,1.3866584965108224,3.2816454884604194,-0.5966470086549366
Construcción,2005,2019,15,6,4.420343289039626,-0.047729745152617645,0.8959126866958737,0.8481829415432559,-0.0028347632604264,1.1110931228775178,1.1082583596170916,0.037752184297599294,1.9129984744419852,0.45512815983167576,2.40587881857126,4.362320119731608,0.05802316930801825
"Comercio, hoteles y restaurantes",2005,2019,15,12,4.001925954098861,0.03071097461594015,1.119734595776212,1.1504455703921521,0.032418690557818854,0.0760790427209313,0.10849773327875017,0.06580306560369074,0.7199831310174888,0.9245952994266469,1.7103814960478263,2.9693247997187284,1.0326011543801323
Transporte y comunicaciones,2005,2019,15,9,4.425168260693315,0.16816134618605816,1.2653970017528244,1.4335583479388825,0.17011134799371072,0.6578619964053252,0.8279733443990359,0.5052383309252183,0.16534680641690758,1.240894314575529,1.9114794519176548,4.1730111442555735,0.2521571164377417
Finanzas e inmobiliarias,2005,2019,15,5,4.312398402028463,-0.09831355859264988,1.7798632611243586,1.6815497025317085,0.03514780394793375,2.3374156172056804,2.372563421153614,0.010256062040682207,0.038541167931052105,1.2489057885324024,1.297703018504137,5.35181614218946,-1.0394177401609968
Servicios sociales,2005,2019,15,10,4.603002991383771,0.7635382114150133,1.1783094221644446,1.9418476335794577,-0.00809090646964664,0.07380194940443953,0.0657110429347929,0.04593973382562243,0.2639031318146199,1.931570838741757,2.241413704381999,4.24897238089625,0.3540306104875205
