year,activity_full,activity,production,labor_composition,hours,labor,capital_tic,capital_non_tic,capital,energy,materials,services,intermediate,factors,ptf
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Agricultura,2.503260688008169,0.6494649989302956,2.89463278748248,3.5440977864127756,-0.0154096780074761,0.7366665990901702,0.7212569210826941,-0.2529506458399249,3.93115322391939,-0.8310041167507211,2.8471984613287438,7.112553168824213,-4.609292480816046
2005,Minería y extracción,Minería,3.664598198313129,1.346939783990083,-2.25462550111157,-0.9076857171214869,-0.06905988629349157,2.325969800931248,2.2569099146377565,-0.9168117156961578,0.1717259914105249,-1.524035425109195,-2.269121149394828,-0.9198969518785582,4.584495150191688
2005,Industrias manufactureras,Manufactura,4.123621676996692,-0.05416621483132015,0.617826681811413,0.5636604669800929,-0.03684033599721381,0.1281546941860641,0.09131435818885028,-1.297645298400336,4.402210721348513,-1.083605661595526,2.0209597613526507,2.6759345865215938,1.447687090475098
2005,"Electricidad, gas y agua","Electricidad, gas y agua",2.459442228354014,1.117490069666812,0.9376238805765064,2.055113950243318,-0.03332227184494787,0.7447317579285764,0.7114094860836285,-3.118990026788728,0.8305771994957472,1.638214216655476,-0.6501986106375048,2.116324825689442,0.3431174026645718
2005,Construcción,Construcción,8.419444403530196,-0.5111334041030898,1.796948769206753,1.2858153651036632,-0.02081398271732212,0.07303111769694909,0.05221713497962697,-0.2925366269889049,3.250591593523791,-2.224484601090003,0.7335703654448831,2.071602865528173,6.347841538002023
2005,"Comercio, hoteles y restaurantes","Comercio, hoteles y restaurantes",5.250468211289938,0.1364948052037576,1.039008227682206,1.1755030328859635,-0.002826338181838275,0.037005002653869,0.034178664472030724,-0.07313088093399563,3.61121579724708,-0.8256747568199868,2.7124101594930976,3.9220918568510914,1.328376354438846
2005,"Transporte, almacenamiento y comunicaciones",Transporte y comunicaciones,8.709013223948503,0.6350829302694819,2.920844518541726,3.5559274488112083,-0.1943315709859601,1.308704949433122,1.1143733784471619,-0.5678795833621351,1.388090580170803,1.174087405041498,1.994298401850166,6.664599229108536,2.044413994839967
2005,"Intermediación financiera, actividades inmobiliarias, empresariales y de alquiler",Finanzas e inmobiliarias,4.925332801038085,-0.2505702116669086,2.356742243851615,2.1061720321847064,-0.0710577447816395,3.016255682246714,2.9451979374650743,0.01449560364560355,0.07710095542772102,3.240892529808632,3.3324890888819567,8.383859058531737,-3.458526257493652
2005,"Actividades de servicios sociales, comunales y personales",Servicios sociales,6.478775798151926,1.663841891647351,1.984843815536439,3.64868570718379,-0.03408785709227329,0.1742267814999005,0.1401389244076272,0.0587103943922651,1.543434518224639,4.769664922987815,6.371809835604719,10.160634467196136,-3.68185866904421
2006,"Agricultura, ganadería, caza, silvicultura y pesca",Agricultura,2.211937060917002,0.07001964274060055,-2.220997633769351,-2.1509779910287503,-0.01663144248665242,0.7903359995706054,0.773704557083953,-0.07417352024318817,0.8436584839361352,0.08782790623596626,0.8573128699289133,-0.519960564015884,2.731897624932886
2006,Minería y extracción,Minería,1.941622547332322,-0.7022034249007744,2.04057548673839,1.3383720618376156,-0.1591680848415425,3.586313578533003,3.4271454936914605,0.374650035514222,-0.01479641070876733,-0.05104776315045715,0.3088058616549975,5.074323417184074,-3.132700869851751
2006,Industrias manufactureras,Manufactura,6.485864690916454,-0.02714149633842393,-0.8148134147050147,-0.8419549110434386,-0.01775203986214412,0.5902244211651487,0.5724723813030046,0.6604761492818959,3.340757361850859,0.2007583577545313,4.201991868887286,3.9325093391468524,2.553355351769602
2006,"Electricidad, gas y agua","Electricidad, gas y agua",3.820747142860714,-0.1798332177495445,-0.504449130186936,-0.6842823479364806,-0.03458669233386621,1.235178170715197,1.2005914783813307,2.064961548226143,-0.07207997494313047,0.0129313876288937,2.005812960911906,2.5221220913567564,1.298625051503958
2006,Construcción,Construcción,11.77404519622725,0.333128036555031,0.6047919420578196,0.9379199786128506,-0.02571513119694185,0.6175022232702342,0.5917870920732924,0.1366257663952629,5.99747909503234,1.907744072133098,8.0418489335607,9.571556004246844,2.202489191980401
2006,"Comercio, hoteles y restaurantes","Comercio, hoteles y restaurantes",7.985004192117273,0.2311364863733018,-0.682048722673604,-0.45091223630030214,0.01010200847517751,0.1709076225834295,0.181009631058607,0.1061992112496001,1.058006590220297,2.697322033853606,3.8615278353235034,3.591625230081808,4.393378962035465
2006,"Transporte, almacenamiento y comunicaciones",Transporte y comunicaciones,10.76235930039617,0.2803002996984458,1.786508345728584,2.0668086454270296,0.1552685864839704,2.463988837957017,2.6192574244409874,1.105528701970483,0.1984208745810534,3.928310255729244,5.23225983228078,9.918325902148798,0.844033398247376
2006,"Intermediación financiera, actividades inmobiliarias, empresariales y de alquiler",Finanzas e inmobiliarias,6.206342674998577,-0.7588697590319137,0.3755240871851465,-0.38334567184676716,-0.1552467011508415,3.132593202300189,2.9773465011493476,-0.01261239177033762,0.1773326508686602,2.017741170025488,2.1824614291238107,4.776462258426392,1.429880416572186
